Sean,994,893,928,897,866,867
Jack,987,931,835,800,868,930
Conor,731,705,736,705,748,702
Adam,693,710,688,787,798,833
James,678,699,688,626,581,613
Daniel,636,654,630,617,559,475
Luke,536,544,544,474,489,517
Cian,520,561,546,501,536,557
Michael,509,484,527,525,520,483
Jamie,494,408,406,327,333,342
Aaron,488,488,503,411,467,459
Dylan,456,467,479,478,485,538
Thomas,432,397,371,375,349,377
Ryan,431,432,451,425,365,349
Darragh,429,377,414,356,310,298
Oisin,413,370,384,342,300,283
Matthew,395,379,361,304,351,287
John,394,386,366,333,362,372
Patrick,392,381,357,343,366,365
Ben,385,401,399,348,345,258
David,383,401,459,480,501,549
Callum,368,216,130,138,110,76
Alex,367,336,322,268,193,160
Shane,366,355,379,335,343,385
Evan,364,324,337,303,245,248
Eoin,356,370,429,356,361,349
Joshua,341,324,364,352,345,257
Cillian,300,167,176,116,99,114
Jake,297,276,206,236,227,224
Liam,295,297,310,316,290,267
Mark,265,285,316,302,336,366
Nathan,255,296,271,275,258,242
Ciaran,227,226,253,244,252,264
Samuel,224,210,209,193,166,146
Cathal,219,226,209,170,179,198
Charlie,218,148,118,79,58,40
Robert,206,205,196,204,227,240
Kyle,202,210,216,200,190,126
Fionn,195,184,172,102,99,94
Joseph,195,226,232,218,201,243
Harry,193,150,137,118,98,115
Cormac,185,183,147,118,127,113
Andrew,182,183,216,199,172,218
Calum,179,110,46,46,37,10
Rory,170,114,156,130,116,112
Stephen,165,170,205,214,201,263
Ronan,164,169,182,132,122,139
Kevin,159,152,166,180,214,220
Noah,158,123,83,33,26,18
Eoghan,149,171,145,158,144,162
William,149,149,141,125,139,130
Brian,145,169,165,169,179,197
Christopher,144,132,142,138,150,174
Ethan,139,151,160,141,128,135
Lee,138,162,161,147,153,158
Alexander,134,152,132,136,119,102
Scott,134,135,168,117,114,97
Sam,128,134,132,93,88,63
